RANK,BRAND,CATEGORIES 1,CATEGORIES 2,FOLLOWERS,ER,iPOSTS ON HASHTAG,MEDIA POSTED,ER
1,Selena Gomez,celebrities,musicians,105.4,2.62%(1342),14.5M(48),1.2k(2135),>2%
2,Taylor Swift,celebrities,musicians,95.2,1.96%(2040),10.5M(66),958(2669),<=2%
3,Ariana Grande,celebrities,musicians,92.3,1.43%(2759),16.9M(41),2.8k(824),<=2%
4,Beyonce,celebrities,musicians,90.6,2.53%(1427),9.2M(70),1.4k(1897),>2%
5,Kim Kardashian West,celebrities,tv,89.3,1.39%(2812),5.1M(130),3.6k(550),<=2%
6,Cristiano Ronaldo,celebrities,athletes,85.1,2.62%(1340),3.6M(176),1.6k(1612),>2%
7,Kylie,celebrities,models,81.8,1.89%(2127),6.2M(103),4.9k(302),<=2%
8,Justin Bieber,celebrities,musicians,77.9,1.66%(2408),26.2M(19),3.8k(501),<=2%
9,therock,celebrities,athletes,73.3,1.24%(3043),1.1M(450),2.5k(926),<=2%
10,Kendall,celebrities,models,70.9,1.78%(2272),3.4M(183),2.7k(849),<=2%
11,Nicki Minaj,celebrities,musicians,70.8,0.93%(3525),3.7M(172),4.2k(416),<=2%
12,nike,fashion,sport,68.2,1.76%(2288),50.6M(5),880(2832),<=2%
13,National Geographic,media,,65.8,1.14%(3184),5.3M(123),12.7k(31),<=2%
14,Nj,celebrities,athletes,64,1.52%(2617),3.3M(188),3.6k(555),<=2%
15,Leo Messi,celebrities,athletes,61.9,4.27%(481),5.1M(134),180(4909),<=2%
16,Khloe,celebrities,tv,60.2,2.16%(1799),1.4M(363),3.1k(702),>2%
17,KATY PERRY,celebrities,musicians,59.6,1.50%(2657),3.3M(189),507(3846),<=2%
18,Miley Cyrus,celebrities,musicians,57.8,1.41%(2784),6M(106),5.8k(200),<=2%
19,Jennifer Lopez,celebrities,musicians,55.1,1.23%(3052),1.2M(428),1.6k(1647),<=2%
20,Demi Lovato,celebrities,musicians,51.3,2.65%(1320),6M(108),1.5k(1782),>2%
21,Kourtney Kardashian,celebrities,tv,50.7,1.24%(3030),1M(479),3k(746),<=2%
22,Victoria's Secret,fashion,,49.1,1.03%(3358),3.5M(178),4.3k(390),<=2%
23,badgalriri,celebrities,musicians,47.3,1.53%(2606),1.1M(447),3.7k(525),<=2%
24,Kevin Hart,celebrities,actors,45.9,0.68%(3906),805.8k(551),4k(457),<=2%
25,FC Barcelona,sport,football,43.3,1.78%(2271),2.9M(212),8.9k(68),<=2%
26,Real Madrid C.F.,sport,football,41.8,2.02%(1975),6.6M(99),1k(2560),>2%
27,Justin Timberlake,celebrities,musicians,39.6,1.42%(2767),1.2M(434),498(3888),<=2%
28,Ellen,celebrities,tv,38.2,1.43%(2763),236.9k(1114),4.3k(399),<=2%
29,Cara Delevingne,celebrities,models,36.2,1.55%(2584),1.5M(346),3.2k(654),<=2%
30,Zendaya,celebrities,musicians,36,3.02%(1032),511.4k(726),3k(732),<=2%
